KPI_ID,NOM_KPI,DOMAINE,DATE_AAAA_MM,VALEUR_TAUX,STATUT,BASELINE_TOP,BASELINE_BOTTOM
OPCON001,Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h30,HMS,2022-01,100%,VERT,95%,94.99%
OPCON001,Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h30,HMS,2022-02,100%,VERT,95%,94.99%
OPCON001,Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h30,HMS,2022-03,100%,VERT,95%,94.99%
OPCON001,Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h30,HMS,2022-04,100%,VERT,95%,94.99%
OPCON001,Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h30,HMS,2022-05,96.2%,VERT,95%,94.99%
OPCON001,Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h30,HMS,2022-06,100%,VERT,95%,94.99%
OPCON001,Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h30,HMS,2022-07,100%,VERT,95%,94.99%
OPCON001,Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h30,HMS,2022-08,100%,VERT,95%,94.99%
OPCON001,Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h30,HMS,2022-09,100%,VERT,95%,94.99%
OPCON001,Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h30,HMS,2022-10,100%,VERT,95%,94.99%
OPCON001,Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h30,HMS,2022-11,100 %,VERT,95%,94.99%
OPCON001,Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h30,HMS,2022-12,100%,VERT,95%,94.99%
OPCON001,Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h30,HMS,2023-01,100%,VERT,95%,94.99%
OPCON003,Respect du délai de mise à disposition des Ordres d'Achat et des Propositions d'Ordres d'Achat à 8h30,HMS,2022-01,80%,ROUGE,95%,94.99%
OPCON003,Respect du délai de mise à disposition des Ordres d'Achat et des Propositions d'Ordres d'Achat à 8h30,HMS,2022-02,100 %,VERT,95%,94.99%
OPCON003,Respect du délai de mise à disposition des Ordres d'Achat et des Propositions d'Ordres d'Achat à 8h30,HMS,2022-03,100%,VERT,95%,94.99%
OPCON003,Respect du délai de mise à disposition des Ordres d'Achat et des Propositions d'Ordres d'Achat à 8h30,HMS,2022-04,100%,VERT,95%,94.99%
OPCON003,Respect du délai de mise à disposition des Ordres d'Achat et des Propositions d'Ordres d'Achat à 8h30,HMS,2022-05,100%,VERT,95%,94.99%
OPCON003,Respect du délai de mise à disposition des Ordres d'Achat et des Propositions d'Ordres d'Achat à 8h30,HMS,2022-06,75%,ROUGE,95%,94.99%
OPCON003,Respect du délai de mise à disposition des Ordres d'Achat et des Propositions d'Ordres d'Achat à 8h30,HMS,2022-07,80%,ROUGE,95%,94.99%
OPCON003,Respect du délai de mise à disposition des Ordres d'Achat et des Propositions d'Ordres d'Achat à 8h30,HMS,2022-08,100 %,VERT,95%,94.99%
OPCON003,Respect du délai de mise à disposition des Ordres d'Achat et des Propositions d'Ordres d'Achat à 8h30,HMS,2022-09,100%,VERT,95%,94.99%
OPCON003,Respect du délai de mise à disposition des Ordres d'Achat et des Propositions d'Ordres d'Achat à 8h30,HMS,2022-10,100%,VERT,95%,94.99%
OPCON003,Respect du délai de mise à disposition des Ordres d'Achat et des Propositions d'Ordres d'Achat à 8h30,HMS,2022-11,100 %,VERT,100 %,99.99%
OPCON003,Respect du délai de mise à disposition des Ordres d'Achat et des Propositions d'Ordres d'Achat à 8h30,HMS,2022-12,100%,VERT,100%,99.99%
OPCON003,Respect du délai de mise à disposition des Ordres d'Achat et des Propositions d'Ordres d'Achat à 8h30,HMS,2023-01,75%,ROUGE,100%,99.99%
OPCON004,Respect du délai de mise à disposition des Ordres à produire pour les sites de production à 8h00,HMS,2022-01,90.5%,ROUGE,95%,94.99%
OPCON004,Respect du délai de mise à disposition des Ordres à produire pour les sites de production à 8h00,HMS,2022-02,95%,VERT,95%,94.99%
OPCON004,Respect du délai de mise à disposition des Ordres à produire pour les sites de production à 8h00,HMS,2022-03,100%,VERT,95%,94.99%
OPCON004,Respect du délai de mise à disposition des Ordres à produire pour les sites de production à 8h00,HMS,2022-04,100%,VERT,95%,94.99%
OPCON004,Respect du délai de mise à disposition des Ordres à produire pour les sites de production à 8h00,HMS,2022-05,95.2%,VERT,95%,94.99%
OPCON004,Respect du délai de mise à disposition des Ordres à produire pour les sites de production à 8h00,HMS,2022-06,100%,VERT,95%,94.99%
OPCON004,Respect du délai de mise à disposition des Ordres à produire pour les sites de production à 8h00,HMS,2022-07,90.5%,ROUGE,95%,94.99%
OPCON004,Respect du délai de mise à disposition des Ordres à produire pour les sites de production à 8h00,HMS,2022-08,100%,VERT,95%,94.99%
OPCON004,Respect du délai de mise à disposition des Ordres à produire pour les sites de production à 8h00,HMS,2022-09,100 %,VERT,95%,94.99%
OPCON004,Respect du délai de mise à disposition des Ordres à produire pour les sites de production à 8h00,HMS,2022-10,100%,VERT,95%,94.99%
OPCON004,Respect du délai de mise à disposition des Ordres à produire pour les sites de production à 8h00,HMS,2022-11,95.5%,VERT,95%,94.99%
OPCON004,Respect du délai de mise à disposition des Ordres à produire pour les sites de production à 8h00,HMS,2022-12,100%,VERT,95%,94.99%
OPCON004,Respect du délai de mise à disposition des Ordres à produire pour les sites de production à 8h00,HMS,2023-01,95.5%,VERT,95%,94.99%
M3001,Synchronisation des quantités commandées sur l’OA et les quantités à fabriquer sur l’OF ,HERMES FEMME,2022-08,99.38%,ORANGE,99.5%,99%
M3001,Synchronisation des quantités commandées sur l’OA et les quantités à fabriquer sur l’OF ,HERMES FEMME,2022-09,99.44%,ORANGE,99.5%,99%
M3001,Synchronisation des quantités commandées sur l’OA et les quantités à fabriquer sur l’OF ,HERMES FEMME,2022-10,99.45%,ORANGE,99.5%,99%
M3001,Synchronisation des quantités commandées sur l’OA et les quantités à fabriquer sur l’OF ,HERMES FEMME,2022-11,99.32%,ORANGE,99.5%,99%
M3001,Synchronisation des quantités commandées sur l’OA et les quantités à fabriquer sur l’OF ,HERMES FEMME,2022-12,99.47%,ORANGE,99.5%,99%
M3001,Synchronisation des quantités commandées sur l’OA et les quantités à fabriquer sur l’OF ,HERMES FEMME,2023-01,99.53%,VERT,99.5%,99%
M3002,Synchronisation des quantités réceptionnées sur l’OA et les quantités fabriquées sur l’OF,HERMES FEMME,2022-08,98.98%,ROUGE,99.5%,99%
M3002,Synchronisation des quantités réceptionnées sur l’OA et les quantités fabriquées sur l’OF,HERMES FEMME,2022-09,99.17%,ORANGE,99.5%,99%
M3002,Synchronisation des quantités réceptionnées sur l’OA et les quantités fabriquées sur l’OF,HERMES FEMME,2022-10,99.15%,ORANGE,99.5%,99%
M3002,Synchronisation des quantités réceptionnées sur l’OA et les quantités fabriquées sur l’OF,HERMES FEMME,2022-11,99.20%,ORANGE,99.5%,99%
M3002,Synchronisation des quantités réceptionnées sur l’OA et les quantités fabriquées sur l’OF,HERMES FEMME,2022-12,99.27%,ORANGE,99.5%,99%
M3002,Synchronisation des quantités réceptionnées sur l’OA et les quantités fabriquées sur l’OF,HERMES FEMME,2023-01,99.29%,ORANGE,99.5%,99%
M3003,Taux d’intégration des flux entrants Deret vers M3 - Hermès Femme,HERMES FEMME,2022-02,99.3%,ORANGE,99.9%,99.1%
M3003,Taux d’intégration des flux entrants Deret vers M3 - Hermès Femme,HERMES FEMME,2022-03,99.4%,ORANGE,99.9%,99.1%
M3003,Taux d’intégration des flux entrants Deret vers M3 - Hermès Femme,HERMES FEMME,2022-04,99.4%,ORANGE,99.9%,99.1%
M3003,Taux d’intégration des flux entrants Deret vers M3 - Hermès Femme,HERMES FEMME,2022-05,99.2%,ORANGE,99.9%,99.1%
M3003,Taux d’intégration des flux entrants Deret vers M3 - Hermès Femme,HERMES FEMME,2022-06,98.5%,ROUGE,99.9%,99.1%
M3003,Taux d’intégration des flux entrants Deret vers M3 - Hermès Femme,HERMES FEMME,2022-07,99.4%,ORANGE,99.9%,99.1%
M3003,Taux d’intégration des flux entrants Deret vers M3 - Hermès Femme,HERMES FEMME,2022-08,98.73%,ROUGE,99.9%,99.1%
M3003,Taux d’intégration des flux entrants Deret vers M3 - Hermès Femme,HERMES FEMME,2022-09,99.04%,ROUGE,99.9%,99.1%
M3003,Taux d’intégration des flux entrants Deret vers M3 - Hermès Femme,HERMES FEMME,2022-10,98.55%,VERT,98%,97%
M3003,Taux d’intégration des flux entrants Deret vers M3 - Hermès Femme,HERMES FEMME,2022-11,99.35%,VERT,98%,97%
M3003,Taux d’intégration des flux entrants Deret vers M3 - Hermès Femme,HERMES FEMME,2022-12,98.83%,VERT,98%,97%
M3003,Taux d’intégration des flux entrants Deret vers M3 - Hermès Femme,HERMES FEMME,2023-01,98.33%,VERT,98%,97%
EASY001,Taux de résolution des incidents liés aux réceptions dans les délais (4h),HDE,2022-06,88%,VERT,80%,74%
EASY001,Taux de résolution des incidents liés aux réceptions dans les délais (4h),HDE,2022-07,72%,ORANGE,80%,74%
EASY001,Taux de résolution des incidents liés aux réceptions dans les délais (4h),HDE,2022-08,82.35%,VERT,80%,74%
EASY001,Taux de résolution des incidents liés aux réceptions dans les délais (4h),HDE,2022-09,76.47%,ORANGE,80%,74%
EASY001,Taux de résolution des incidents liés aux réceptions dans les délais (4h),HDE,2022-10,73.80%,ORANGE,80%,74%
