KPI_ID,KPI_NAME,SERVICE_LEVEL,GROUP_KPI,SUBGROUP_KPI,ORDRE_SUBGROUP,THEME,ORDRE_THEME,ORDRE_KPI_PAGE,TAUX_YN,DATE_CREATION,DATE_CESSATION,PAGE,DESCRIPTION,DRILL_SYSTEME
EASY001,"Taux de résolution des incidents liés aux réceptions dans les délais (4h)",Support,FOCUS RETAIL ,Réception en magasin,1,Réception en magasin,1,2,Y,01/01/2021,,1,"Vérifier le respect du SLA de 4h de résolution des incidents liés aux réception en boutique. Le KPI sera calculé séparément pour Hermès Distribution France et Hermès Distribution Europe.",DRILL_EASY_TAUX
EASY002,"Taux d’incidents liées aux applications mobiles traitées dans les délais",Support,FOCUS RETAIL ,Mobilité,3,Mobilité,3,5,Y,01/01/2021,,1,"Estimer la durée de résolution des incidents liés à la mobilité pour vérifier le respect du SLA de 4 heures et améliorer l'efficacité de traitement. Le KPI sera calculé séparément pour Hermès Distribution France et Hermès Distribution Europe.",DRILL_EASY_TAUX
EASY003,"Taux de résolution des incidents Purecloud dans les délais",Support,FOCUS HCOM,CRC genesis purecloud,3,CRC genesis purecloud,3,4,Y,01/01/2021,,2,"Vérifier le respect du SLA de 4h de temps de résolution des incidents liés à la solution Purecloud (application de gestion des appels entrants pour les équipes ecommerce).Le KPI sera calculé séparément pour Hermès Distribution France et Hermès Distribution Europe.",DRILL_EASY_TAUX
EASY004,"Nombre d'incidents Purecloud sur le mois",Support,FOCUS HCOM,CRC genesis purecloud,3,CRC genesis purecloud,3,3,N,01/01/2021,,2,"Vérifier le bon fonctionnement de l'application Purecloud pour les utilisateurs du Centre Relation Client (activité ecommerce). La solution permet de gérer le flux d'appels téléphoniques.Le KPI sera calculé séparément pour Hermès Distribution France et Hermès Distribution Europe.",DRILL_EASY_NB
EASY005,"Nombre d'incidents CIS",Support,FOCUS HCOM,Incident CIS,2,Incident CIS,2,2,N,01/01/2021,,2,"Vérifier le bon fonctionnement du service ClickInStore, permettant les saisies de commande ecommerce lors de présente en magasin. Le KPI sera calculé séparément pour Hermès Distribution France et Hermès Distribution Europe.",DRILL_EASY_NB
EASY006,"Taux de non-réouverture des incidents",Support,FOCUS RETAIL ,Support,4,Support,4,7,Y,01/01/2021,,1,"Suivre la qualité de traitement des tickets et le respect de la procédure de clôture.Le KPI sera calculé séparément pour Hermès Distribution France et Hermès Distribution Europe.",DRILL_EASY_TR
EASY007,"Taux de résolution des incidents SAV en moins de 5 jours",Support,,Après-Vente,2,SAV / Délai de traitement des incidents,2,2,Y,01/01/2021,,1,"Vérifier le délai de traitement des incidents remonté par les équipes SAV des Services aux clients. Ces incidents doivent être résolus dans un délai inférieur à 5 jours suite à la création de ceux-ci.",DRILL_EASY_SAC_A
EASY008,"Taux de résolution des incidents prioritaires en moins de 3 jours",Support,,Tout Flux,3,Délai de traitement des incidents,3,3,Y,01/01/2021,,1,"Vérifier le délai de traitement des incidents remonté par les équipes des Services aux clients, pour lesquels une priorisation a été effectuées par ces même équipes. Ces incidents doivent être résolus dans un délai inférieur à 3 jours suite à la priorisation de ceux-ci.",DRILL_EASY_SAC_B
EASY009,"Taux de résolution des incidents non prioritaires en moins de 7 jours",Support,,Tout Flux,3,Délai de traitement des incidents,3,4,Y,01/01/2021,,1,"Vérifier le délai de traitement des incidents remonté par les équipes des Services aux clients. Ces incidents doivent être résolus dans un délai inférieur à 7 jours suite à la création de ceux-ci.",DRILL_EASY_SAC_A
EASY010,"Taux de respect du délai de 5 jours pour la création d'un accès Outils Opérations",Support,FOCUS RETAIL ,Support,4,Support,4,,Y,01/01/2021,,2,,DRILL_EASYVISTA
EASY011,"Taux de respect du délai de 5 jours pour la création d'un accès Outils Métiers Retail",Support,FOCUS RETAIL ,Support,4,Support,4,8,Y,01/01/2021,,1,"Vérifier le respect du SLA de 5 jours pour la création d'un accès aux Outils Métiers Retail et améliorer la satisfaction client. Le KPI sera calculé séparément pour Hermès Distribution France et Hermès Distribution Europe.",DRILL_EASY_TAUX
EASY012,"Nombre d'incidents ALF sur le mois",Support,FOCUS RETAIL ,Réception en magasin,1,Réception en magasin,1,3,N,01/01/2021,,1,"Mesurer l'impact des dysfonctionnements des flux d'information BP/ALF sur le service support, estimer la fiabilité du processus de transfert des informations ALF et son impact sur le processus opérationnel. Le KPI sera calculé séparément pour Hermès Distribution France et Hermès Distribution Europe.",DRILL_EASY_NB
OPCON001,"Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h30",Business,,Approvisionnement des maroquineries,1,Supply Chain,2,1,Y,01/01/2021,01/02/2023,1,"Chaque matin, la plateforme de logistique matière, GEODIS, située à Saint-Priest approvisionne l'ensemble des sites de production sur la base d'ordre de distribution fournis par l'ERP M3. L'objectif de ce KPI, est de mesurer le délai de mise à disposition de ces ordres. La plateforme commence à travailler entre 6H45 et 7H00 : les ordres doivent donc être disponibles avant cette heure-là, auquel cas la plateforme ne peut pas distribuer les sites de production, qui voient leur production impactée.",DRILL_OPCON
OPCON001B,"Respect du délai de mise à disposition des Ordres de Distributions chez Geodis à 7h00",Business,,Approvisionnement des maroquineries,1,Supply Chain,2,2,Y,01/02/2023,,1,"Chaque matin, la plateforme de logistique matière, GEODIS, située à Saint-Priest approvisionne l'ensemble des sites de production sur la base d'ordre de distribution fournis par l'ERP M3. L'objectif de ce KPI, est de mesurer le délai de mise à disposition de ces ordres. La plateforme commence à travailler entre 6H45 et 7H00 : les ordres doivent donc être disponibles avant cette heure-là, auquel cas la plateforme ne peut pas distribuer les sites de production, qui voient leur production impactée.",DRILL_OPCON
